crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
85184,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,R,8:00AM,9:15AM,PRT L2
85185,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,T,9:30AM,10:45AM,PRT L2
85186,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,12:30PM,1:45PM,PRT L2
85187,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,11:00AM,12:15PM,PRT L2
85188,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,R,11:00AM,12:15PM,PRT L2
85189,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,R,2:00PM,3:15PM,PRT L2
85190,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,9:30AM,10:45AM,PRT L2
85191,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,R,9:30AM,10:45AM,PRT L2
85192,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,R,3:30PM,4:45PM,PRT L2
85193,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,2:00PM,3:15PM,PRT L2
85194,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,3:30PM,4:45PM,PRT L2
85195,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,W,8:00AM,9:15AM,PRT L2
85196,ENGR,ENGR 1054,D Katey,First Year Galileo Seminar,F2F,2,0,M,11:00AM,12:15PM,PRT L2
85201,ENGR,ENGR 2044,D Katey,2nd Yr Galileo & Hypatia Sem,F2F,1,80,T,7:00PM,8:15PM,HAN 100
85202,ENGR,ENGR 2164,BA Watford,Introduction to Scieneering,F2F,1,71,F,1:25PM,2:15PM,SURGE 108B
85204,ENGR,ENGR 3044,D Katey,3rd Yr Galileo and Hypatia Sem,F2F,1,15,T,7:00PM,8:15PM,HAN 100
85205,ENGR,ENGR 3124,S McGinnis,Green Engineering,F2F,3,90,M W,2:30PM,3:45PM,DDS 155
85206,ENGR,ENGR 3124,DT Scott,Green Engineering,F2F,3,80,T R,8:00AM,9:15AM,GOODW 115
