crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80136,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,JL Shortt,M W,2:30PM,3:45PM,DER 3081,CTE
80137,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,T R,3:30PM,4:45PM,DDS 180,CTE
80138,ACIS-2116,Principles of Accounting,L,Face-to-Face Instruction,3,59,EA Martin,T R,5:00PM,6:15PM,DDS 180,CTE
80139,ACIS-2504,Intro to Accounting Analytics,L,Face-to-Face Instruction,3,56,G Kogan,T R,12:30PM,1:45PM,DDS 150,12T
80140,ACIS-2504,Intro to Accounting Analytics,L,Face-to-Face Instruction,3,56,G Kogan,T R,2:00PM,3:15PM,PAM 30,14T
90637,ACIS-2504,Intro to Accounting Analytics,L,Face-to-Face Instruction,3,56,SL Ferris,M W F,9:05AM,9:55AM,DDS 230,09M
90638,ACIS-2504,Intro to Accounting Analytics,L,Face-to-Face Instruction,3,56,SL Ferris,M W F,10:10AM,11:00AM,DDS 155,10M
80141,ACIS-3115,Intermediate Financial Acct.,L,Face-to-Face Instruction,3,34,MJ Erickson,M W F,9:05AM,9:55AM,PAM 2003,09M
80142,ACIS-3115,Intermediate Financial Acct.,L,Face-to-Face Instruction,3,34,MJ Erickson,M W F,12:20PM,1:10PM,DER 3083,12M
80143,ACIS-3115,Intermediate Financial Acct.,L,Face-to-Face Instruction,3,34,MJ Erickson,M W F,1:25PM,2:15PM,DDS 180,13M
80144,ACIS-3116,Intermediate Financial Acct.,L,Face-to-Face Instruction,3,35,RJ Gatzke,T R,3:30PM,4:45PM,ROB 103,15T
80145,ACIS-3116,Intermediate Financial Acct.,L,Face-to-Face Instruction,3,35,RJ Gatzke,T R,12:30PM,1:45PM,HUTCH 310,12T
80147,ACIS-3314,Tax Impact on Decisions,L,Face-to-Face Instruction,3,25,J Huang,M W F,12:20PM,1:10PM,PAM 2028,12M
80148,ACIS-3314,Tax Impact on Decisions,L,Face-to-Face Instruction,3,25,J Huang,M W F,9:05AM,9:55AM,PAM 3001,09M
80149,ACIS-3314,Tax Impact on Decisions,L,Face-to-Face Instruction,3,25,J Huang,M W F,1:25PM,2:15PM,ROB 122,13M
80150,ACIS-3504,Acct Sys and Controls,L,Face-to-Face Instruction,3,14,LG Wallace,T R,2:00PM,3:15PM,DER 1014,14T
80151,ACIS-3504,Acct Sys and Controls,L,Face-to-Face Instruction,3,14,LG Wallace,T R,3:30PM,4:45PM,DER 1014,15T
80152,ACIS-3504,Acct Sys and Controls,L,Face-to-Face Instruction,3,14,LG Wallace,T R,11:00AM,12:15PM,NCB 110A,11T
80153,ACIS-3554,"Networks, Telecom, & Security",L,Face-to-Face Instruction,3,64,PM Romero-Masters,T R,11:00AM,12:15PM,DDS 170,11T
80154,ACIS-3554,"Networks, Telecom, & Security",ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,63,W Shen,T R,12:30PM,1:45PM,ONLINE,12T
80155,ACIS-3554,"Networks, Telecom, & Security",ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,60,W Shen,T R,8:00AM,9:15AM,ONLINE,08T
80156,ACIS-3554,"Networks, Telecom, & Security",ONLINE COURSE - VL,Online with Synchronous Mtgs.,3,20,W Shen,T R,12:30PM,1:45PM,ONLINE,12T
80157,ACIS-4114,Advanced Financial Accounting,L,Hybrid (F2F & Online Instruc.),3,27,DP Garner,M W,9:05AM,9:55AM,PAM 2028,09M
,,,,* Additional Times *,(ARR),----- (ARR) -----,ONLINE,,,,,
80158,ACIS-4114,Advanced Financial Accounting,L,Hybrid (F2F & Online Instruc.),3,27,DP Garner,M W,10:10AM,11:00AM,PAM 3001,10M
,,,,* Additional Times *,(ARR),----- (ARR) -----,ONLINE,,,,,
80159,ACIS-4124,Gov. & Nonprofit Accounting,L,Face-to-Face Instruction,3,6,DP Garner,M W,4:00PM,5:15PM,PAM 2028,16M
80160,ACIS-4124,Gov. & Nonprofit Accounting,L,Face-to-Face Instruction,3,3,DP Garner,M W,2:30PM,3:45PM,PAM 2028,14M
80161,ACIS-4194,Analysis of Fin Statements,L,Face-to-Face Instruction,3,50,LL Lisic,T R,11:00AM,12:15PM,NCB 270,11T
80162,ACIS-4194,Analysis of Fin Statements,L,Face-to-Face Instruction,3,50,LL Lisic,T R,9:30AM,10:45AM,NCB 270,09T
90640,ACIS-4194,Analysis of Fin Statements,L,Face-to-Face Instruction,3,50,LL Lisic,T R,8:00AM,9:15AM,NCB 270,08T
80163,ACIS-4214,Cost Planning and Control,L,Face-to-Face Instruction,3,21,EA Martin,T R,9:30AM,10:45AM,DER 1076,09T
80164,ACIS-4214,Cost Planning and Control,L,Face-to-Face Instruction,3,21,EA Martin,T R,8:00AM,9:15AM,ROB 122,08T
80166,ACIS-4344,Tax for Financial Planners,L,Face-to-Face Instruction,3,40,DR Compton,T R,8:00AM,9:15AM,PAM 3001,08T
80167,ACIS-4414,Financial Statement Auditing,L,Face-to-Face Instruction,3,30,SM Hillison,T R,3:30PM,4:45PM,NCB 130B,15T
80168,ACIS-4414,Financial Statement Auditing,L,Face-to-Face Instruction,3,30,SM Hillison,T R,2:00PM,3:15PM,NCB 130B,14T
90641,ACIS-4414,Financial Statement Auditing,L,Face-to-Face Instruction,3,36,SM Hillison,T R,11:00AM,12:15PM,DER 1014,11T
80169,ACIS-4444,Forensic Accounting,L,Face-to-Face Instruction,3,12,NA Rogers,M W,2:30PM,3:45PM,PAM 2003,14M
80170,ACIS-4444,Forensic Accounting,L,Face-to-Face Instruction,3,12,NA Rogers,M W,4:00PM,5:15PM,PAM 2003,16M
80171,ACIS-4654,Accounting Analytics,L,Face-to-Face Instruction,3,16,JL Shortt,T R,9:30AM,10:45AM,DDS 180,09T
